Metric,Value
Start Date,2025-06-12
End Date,2025-07-11
Duration (Days),29
Exposure Time (%),1017.82
Equity Final ($),9170.12
Equity Peak ($),10154.95
Return (%),-8.3
Buy & Hold Return (%),-0.85
Return (Ann.) (%),-3.37
Volatility (Ann.) (%),0.99
CAGR (%),-66.42
Sharpe Ratio,-3.431
Sortino Ratio,-8.662
Calmar Ratio,6.188
Alpha (%),-2.51
Beta,1.0
Max. Drawdown (%),-10.73
Avg. Drawdown (%),-4.1
Max. Drawdown Duration,1
Avg. Drawdown Duration,1.0
# Trades,90
Win Rate (%),33.33
Best Trade (%),8.27
Worst Trade (%),-14.53
Avg. Trade (%),-0.92
Max. Trade Duration,28.17
Avg. Trade Duration,3.28
Profit Factor,0.67
Expectancy (%),-0.92
