trade_id,symbol,entry_time,exit_time,entry_price,exit_price,position_size,pnl_dollars,pnl_percent,duration_days,trade_type,outcome,strategy_name
1,LTC/USDT,2025-06-11 14:00:00,2025-06-11 16:00:00,92.75565,93.48646,5000.0,39.39436573405453,0.7878873146810907,0.08333333333333333,Long,Win,RSI_MACD_VWAP_Strategy
2,LTC/USDT,2025-06-12 04:00:00,2025-06-13 23:00:00,90.00267,86.50444,5000.0,-194.34034568085548,-3.88680691361711,1.7916666666666667,Long,Loss,RSI_MACD_VWAP_Strategy
3,LTC/USDT,2025-06-14 22:00:00,2025-06-16 07:00:00,85.1265,87.46435,5000.0,137.31622937628137,2.7463245875256272,1.375,Long,Win,RSI_MACD_VWAP_Strategy
4,LTC/USDT,2025-06-17 06:00:00,2025-06-19 09:00:00,86.27527,85.41678,5000.0,-49.752959335856225,-0.9950591867171245,2.125,Long,Loss,RSI_MACD_VWAP_Strategy
5,LTC/USDT,2025-06-19 23:00:00,2025-06-23 22:00:00,85.08975,85.26055,5000.0,10.036461500944583,0.20072923001889167,3.9583333333333335,Long,Win,RSI_MACD_VWAP_Strategy
6,LTC/USDT,2025-06-24 13:00:00,2025-06-26 06:00:00,83.96978,85.25496,5000.0,76.52634078593495,1.5305268157186989,1.7083333333333333,Long,Win,RSI_MACD_VWAP_Strategy
7,LTC/USDT,2025-06-26 20:00:00,2025-06-26 21:00:00,85.42366,84.63602,5000.0,-46.1019815821516,-0.922039631643032,0.041666666666666664,Long,Loss,RSI_MACD_VWAP_Strategy
8,LTC/USDT,2025-06-27 02:00:00,2025-06-27 08:00:00,85.26298,84.68376,5000.0,-33.966675807014504,-0.67933351614029,0.25,Long,Loss,RSI_MACD_VWAP_Strategy
9,LTC/USDT,2025-06-27 17:00:00,2025-06-28 04:00:00,83.5144,85.33849,5000.0,109.20811261291455,2.1841622522582913,0.4583333333333333,Long,Win,RSI_MACD_VWAP_Strategy
10,LTC/USDT,2025-06-29 08:00:00,2025-06-29 10:00:00,86.92705,86.85736,5000.0,-4.008533592247423,-0.08017067184494844,0.08333333333333333,Long,Loss,RSI_MACD_VWAP_Strategy
11,LTC/USDT,2025-06-30 12:00:00,2025-07-01 05:00:00,85.33,85.93992,5000.0,35.738896050627126,0.7147779210125424,0.7083333333333334,Long,Win,RSI_MACD_VWAP_Strategy
12,LTC/USDT,2025-07-01 07:00:00,2025-07-01 09:00:00,86.6105,85.83252,5000.0,-44.91256833755719,-0.8982513667511438,0.08333333333333333,Long,Loss,RSI_MACD_VWAP_Strategy
13,LTC/USDT,2025-07-01 15:00:00,2025-07-02 11:00:00,84.20709,84.16619,5000.0,-2.4285365994712262,-0.04857073198942453,0.8333333333333334,Long,Loss,RSI_MACD_VWAP_Strategy
14,LTC/USDT,2025-07-04 15:00:00,2025-07-05 21:00:00,86.62736,87.27708,5000.0,37.50085423358175,0.750017084671635,1.25,Long,Win,RSI_MACD_VWAP_Strategy
15,LTC/USDT,2025-07-06 10:00:00,2025-07-06 16:00:00,87.29212,87.96243,5000.0,38.39464547315386,0.7678929094630771,0.25,Long,Win,RSI_MACD_VWAP_Strategy
16,LTC/USDT,2025-07-07 11:00:00,2025-07-08 06:00:00,86.87978,86.58317,5000.0,-17.070139910575346,-0.34140279821150693,0.7916666666666666,Long,Loss,RSI_MACD_VWAP_Strategy
