trade_id,symbol,entry_time,exit_time,entry_price,exit_price,position_size,pnl_dollars,pnl_percent,duration_days,trade_type,outcome,strategy_name
1,RLUSD/USDT,2025-06-11 19:00:00,2025-06-12 13:00:00,0.99964,0.9998,5000.0,0.8002881037175833,0.016005762074351667,0.75,Long,Win,RSI_MACD_VWAP_Strategy
2,RLUSD/USDT,2025-06-13 00:00:00,2025-06-13 15:00:00,0.99918,0.99939,5000.0,1.0508617065996293,0.021017234131992583,0.625,Long,Win,RSI_MACD_VWAP_Strategy
3,RLUSD/USDT,2025-06-14 05:00:00,2025-06-14 18:00:00,0.9992,0.9995,5000.0,1.501200960769005,0.0300240192153801,0.5416666666666666,Long,Win,RSI_MACD_VWAP_Strategy
4,RLUSD/USDT,2025-06-15 16:00:00,2025-06-15 17:00:00,0.9997,0.9997,5000.0,0.0,0.0,0.041666666666666664,Long,Breakeven,RSI_MACD_VWAP_Strategy
5,RLUSD/USDT,2025-06-16 13:00:00,2025-06-16 14:00:00,0.9999,0.9999,5000.0,0.0,0.0,0.041666666666666664,Long,Breakeven,RSI_MACD_VWAP_Strategy
6,RLUSD/USDT,2025-06-17 03:00:00,2025-06-17 20:00:00,0.9996,0.9998,5000.0,1.0004001600639152,0.020008003201278306,0.7083333333333334,Long,Win,RSI_MACD_VWAP_Strategy
7,RLUSD/USDT,2025-06-18 09:00:00,2025-06-18 12:00:00,0.9994,0.99966,5000.0,1.3007804682811588,0.026015609365623173,0.125,Long,Win,RSI_MACD_VWAP_Strategy
8,RLUSD/USDT,2025-06-19 01:00:00,2025-06-19 13:00:00,0.99951,0.99964,5000.0,0.6503186561413267,0.013006373122826534,0.5,Long,Win,RSI_MACD_VWAP_Strategy
9,RLUSD/USDT,2025-06-20 02:00:00,2025-06-20 03:00:00,0.99967,0.99967,5000.0,0.0,0.0,0.041666666666666664,Long,Breakeven,RSI_MACD_VWAP_Strategy
10,RLUSD/USDT,2025-06-20 11:00:00,2025-06-20 12:00:00,0.99972,0.99972,5000.0,0.0,0.0,0.041666666666666664,Long,Breakeven,RSI_MACD_VWAP_Strategy
11,RLUSD/USDT,2025-06-20 18:00:00,2025-06-21 04:00:00,0.99961,0.99977,5000.0,0.8003121217277188,0.016006242434554376,0.4166666666666667,Long,Win,RSI_MACD_VWAP_Strategy
