trade_id,symbol,entry_time,exit_time,entry_price,exit_price,position_size,pnl_dollars,pnl_percent,duration_days,trade_type,outcome,strategy_name
1,S/USDT,2025-06-11 21:00:00,2025-06-23 19:00:00,0.38,0.2938,5000.0,-1134.2105263157894,-22.68421052631579,11.916666666666666,Long,Loss,RSI_MACD_VWAP_Strategy
2,S/USDT,2025-06-25 15:00:00,2025-06-26 06:00:00,0.315,0.3125,5000.0,-39.68253968253972,-0.7936507936507943,0.625,Long,Loss,RSI_MACD_VWAP_Strategy
3,S/USDT,2025-06-26 12:00:00,2025-06-27 07:00:00,0.3086,0.3127,5000.0,66.42903434867131,1.328580686973426,0.7916666666666666,Long,Win,RSI_MACD_VWAP_Strategy
4,S/USDT,2025-06-28 06:00:00,2025-06-28 18:00:00,0.3054,0.3091,5000.0,60.57629338572333,1.2115258677144665,0.5,Long,Win,RSI_MACD_VWAP_Strategy
5,S/USDT,2025-06-30 13:00:00,2025-07-02 08:00:00,0.3163,0.3098,5000.0,-102.75055327221001,-2.0550110654442,1.7916666666666667,Long,Loss,RSI_MACD_VWAP_Strategy
6,S/USDT,2025-07-03 15:00:00,2025-07-04 05:00:00,0.296,0.3334,5000.0,631.7567567567567,12.635135135135132,0.5833333333333334,Long,Win,RSI_MACD_VWAP_Strategy
7,S/USDT,2025-07-04 14:00:00,2025-07-05 06:00:00,0.3111,0.3132,5000.0,33.75120540019272,0.6750241080038544,0.6666666666666666,Long,Win,RSI_MACD_VWAP_Strategy
8,S/USDT,2025-07-05 12:00:00,2025-07-05 14:00:00,0.3097,0.3069,5000.0,-45.20503713270858,-0.9041007426541715,0.08333333333333333,Long,Loss,RSI_MACD_VWAP_Strategy
9,S/USDT,2025-07-05 15:00:00,2025-07-06 13:00:00,0.308,0.314,5000.0,97.40259740259748,1.9480519480519498,0.9166666666666666,Long,Win,RSI_MACD_VWAP_Strategy
10,S/USDT,2025-07-07 10:00:00,2025-07-08 12:00:00,0.3096,0.3077,5000.0,-30.68475452196403,-0.6136950904392807,1.0833333333333333,Long,Loss,RSI_MACD_VWAP_Strategy
11,S/USDT,2025-07-08 15:00:00,2025-07-09 05:00:00,0.298,0.307,5000.0,151.0067114093961,3.0201342281879224,0.5833333333333334,Long,Win,RSI_MACD_VWAP_Strategy
