trade_id,symbol,entry_time,exit_time,entry_price,exit_price,position_size,pnl_dollars,pnl_percent,duration_days,trade_type,outcome,strategy_name
1,USTC/USDT,2025-06-11 10:00:00,2025-06-13 23:00:00,0.01224,0.01244,5000.0,81.69934640522898,1.6339869281045794,2.5416666666666665,Long,Win,RSI_MACD_VWAP_Strategy
2,USTC/USDT,2025-06-14 16:00:00,2025-06-15 08:00:00,0.01228,0.01226,5000.0,-8.1433224755697,-0.16286644951139403,0.6666666666666666,Long,Loss,RSI_MACD_VWAP_Strategy
3,USTC/USDT,2025-06-17 10:00:00,2025-06-19 10:00:00,0.0125,0.01231,5000.0,-76.00000000000037,-1.5200000000000076,2.0,Long,Loss,RSI_MACD_VWAP_Strategy
4,USTC/USDT,2025-06-19 21:00:00,2025-06-20 09:00:00,0.01146,0.01229,5000.0,362.1291448516583,7.242582897033166,0.5,Long,Win,RSI_MACD_VWAP_Strategy
5,USTC/USDT,2025-06-20 21:00:00,2025-06-21 01:00:00,0.012,0.01265,5000.0,270.83333333333314,5.4166666666666625,0.16666666666666666,Long,Win,RSI_MACD_VWAP_Strategy
6,USTC/USDT,2025-06-21 19:00:00,2025-06-22 11:00:00,0.01228,0.01226,5000.0,-8.1433224755697,-0.16286644951139403,0.6666666666666666,Long,Loss,RSI_MACD_VWAP_Strategy
7,USTC/USDT,2025-06-22 13:00:00,2025-06-24 00:00:00,0.01196,0.01232,5000.0,150.50167224080235,3.010033444816047,1.4583333333333333,Long,Win,RSI_MACD_VWAP_Strategy
8,USTC/USDT,2025-06-24 14:00:00,2025-06-26 06:00:00,0.01203,0.01232,5000.0,120.5320033250202,2.4106400665004037,1.6666666666666667,Long,Win,RSI_MACD_VWAP_Strategy
9,USTC/USDT,2025-06-27 01:00:00,2025-06-27 12:00:00,0.01196,0.01261,5000.0,271.7391304347824,5.434782608695649,0.4583333333333333,Long,Win,RSI_MACD_VWAP_Strategy
10,USTC/USDT,2025-06-28 01:00:00,2025-06-29 12:00:00,0.01233,0.01297,5000.0,259.529602595296,5.19059205190592,1.4583333333333333,Long,Win,RSI_MACD_VWAP_Strategy
11,USTC/USDT,2025-06-30 18:00:00,2025-07-01 12:00:00,0.01244,0.01296,5000.0,209.00321543408344,4.180064308681669,0.75,Long,Win,RSI_MACD_VWAP_Strategy
12,USTC/USDT,2025-07-04 12:00:00,2025-07-05 08:00:00,0.01245,0.01296,5000.0,204.81927710843377,4.096385542168676,0.8333333333333334,Long,Win,RSI_MACD_VWAP_Strategy
13,USTC/USDT,2025-07-05 22:00:00,2025-07-06 16:00:00,0.01228,0.01297,5000.0,280.9446254071667,5.618892508143334,0.75,Long,Win,RSI_MACD_VWAP_Strategy
14,USTC/USDT,2025-07-07 12:00:00,2025-07-08 02:00:00,0.01253,0.01297,5000.0,175.57861133280173,3.5115722266560354,0.5833333333333334,Long,Win,RSI_MACD_VWAP_Strategy
15,USTC/USDT,2025-07-08 09:00:00,2025-07-08 21:00:00,0.01237,0.01259,5000.0,88.92481810832648,1.7784963621665293,0.5,Long,Win,RSI_MACD_VWAP_Strategy
