trade_id,symbol,entry_time,exit_time,entry_price,exit_price,position_size,pnl_dollars,pnl_percent,duration_days,trade_type,outcome,strategy_name
1,XMR/USDT,2025-06-11 17:00:00,2025-06-15 08:00:00,331.85,317.77,5000.0,-212.14404098237213,-4.242880819647443,3.625,Long,Loss,RSI_MACD_VWAP_Strategy
2,XMR/USDT,2025-06-15 19:00:00,2025-06-16 09:00:00,311.15,322.0,5000.0,174.35320584926922,3.4870641169853847,0.5833333333333334,Long,Win,RSI_MACD_VWAP_Strategy
3,XMR/USDT,2025-06-18 04:00:00,2025-06-18 07:00:00,321.77,325.55,5000.0,58.737607607919166,1.1747521521583832,0.125,Long,Win,RSI_MACD_VWAP_Strategy
4,XMR/USDT,2025-06-18 22:00:00,2025-06-20 10:00:00,317.82,316.78,5000.0,-16.36146246302971,-0.3272292492605942,1.5,Long,Loss,RSI_MACD_VWAP_Strategy
5,XMR/USDT,2025-06-20 22:00:00,2025-06-21 07:00:00,312.65,316.36,5000.0,59.331520869982995,1.18663041739966,0.375,Long,Win,RSI_MACD_VWAP_Strategy
6,XMR/USDT,2025-06-22 02:00:00,2025-06-24 06:00:00,307.24,314.0,5000.0,110.0117172243196,2.200234344486392,2.1666666666666665,Long,Win,RSI_MACD_VWAP_Strategy
7,XMR/USDT,2025-06-24 16:00:00,2025-06-24 17:00:00,316.79,317.35,5000.0,8.838662836579473,0.17677325673158945,0.041666666666666664,Long,Win,RSI_MACD_VWAP_Strategy
8,XMR/USDT,2025-06-25 12:00:00,2025-06-25 13:00:00,319.83,319.69,5000.0,-2.188662727073545,-0.0437732545414709,0.041666666666666664,Long,Loss,RSI_MACD_VWAP_Strategy
9,XMR/USDT,2025-06-25 22:00:00,2025-06-26 12:00:00,310.42,315.79,5000.0,86.49571548224992,1.7299143096449987,0.5833333333333334,Long,Win,RSI_MACD_VWAP_Strategy
10,XMR/USDT,2025-06-26 20:00:00,2025-06-28 08:00:00,311.35,313.31,5000.0,31.47583105829419,0.6295166211658838,1.5,Long,Win,RSI_MACD_VWAP_Strategy
11,XMR/USDT,2025-06-28 20:00:00,2025-06-29 04:00:00,310.22,317.3,5000.0,114.11256527625531,2.282251305525106,0.3333333333333333,Long,Win,RSI_MACD_VWAP_Strategy
12,XMR/USDT,2025-06-29 17:00:00,2025-06-30 05:00:00,307.78,314.87,5000.0,115.17967379296954,2.303593475859391,0.5,Long,Win,RSI_MACD_VWAP_Strategy
13,XMR/USDT,2025-07-01 14:00:00,2025-07-02 08:00:00,312.94,319.98,5000.0,112.48162587077428,2.2496325174154856,0.75,Long,Win,RSI_MACD_VWAP_Strategy
14,XMR/USDT,2025-07-04 00:00:00,2025-07-04 09:00:00,320.21,321.64,5000.0,22.32909653040203,0.4465819306080406,0.375,Long,Win,RSI_MACD_VWAP_Strategy
15,XMR/USDT,2025-07-04 14:00:00,2025-07-06 11:00:00,313.55,312.88,5000.0,-10.684101419231636,-0.21368202838463274,1.875,Long,Loss,RSI_MACD_VWAP_Strategy
16,XMR/USDT,2025-07-06 12:00:00,2025-07-06 17:00:00,314.97,317.93,5000.0,46.98860208908752,0.9397720417817504,0.20833333333333334,Long,Win,RSI_MACD_VWAP_Strategy
17,XMR/USDT,2025-07-07 15:00:00,2025-07-08 08:00:00,313.33,313.31,5000.0,-0.31915233140749066,-0.006383046628149813,0.7083333333333334,Long,Loss,RSI_MACD_VWAP_Strategy
18,XMR/USDT,2025-07-08 10:00:00,2025-07-08 15:00:00,317.0,313.77,5000.0,-50.94637223974792,-1.0189274447949583,0.20833333333333334,Long,Loss,RSI_MACD_VWAP_Strategy
19,XMR/USDT,2025-07-08 18:00:00,2025-07-09 06:00:00,310.67,319.14,5000.0,136.31827984678227,2.7263655969356453,0.5,Long,Win,RSI_MACD_VWAP_Strategy
