Strategy,Symbol,Timeframe,Trades,Total_Profit_Pct,Profit_Factor,Win_Rate_Pct,Sharpe_Ratio,Max_Drawdown_Pct,Composite_Score
RSI_30_70,USDC/USDT,1h,6,0.08,9.00,66.7,1.69,0.00,49.8
RSI_25_75,USDC/USDT,1h,4,0.07,8.00,75.0,1.07,0.00,47.4
RSI_35_65,USDC/USDT,1h,7,0.07,8.00,71.4,1.87,0.00,52.2
MACD_Standard,USDC/USDT,1h,6,-0.04,0.33,16.7,-0.83,0.01,6.3
Bollinger_Bands,USDC/USDT,1h,3,0.05,inf,66.7,1.13,0.00,45.5
RSI_30_70,SOL/USDT,1h,4,7.23,inf,100.0,2.87,0.00,63.5
RSI_25_75,SOL/USDT,1h,4,15.56,inf,100.0,3.56,0.00,66.7
RSI_35_65,SOL/USDT,1h,4,2.43,2.25,50.0,0.39,0.10,30.3
MACD_Standard,SOL/USDT,1h,6,4.57,2.99,33.3,0.66,0.10,39.2
Bollinger_Bands,SOL/USDT,1h,3,3.79,inf,100.0,1.61,0.00,55.7
RSI_30_70,XRP/USDT,1h,4,9.14,inf,100.0,2.07,0.00,60.1
RSI_25_75,XRP/USDT,1h,2,3.00,inf,100.0,2.87,0.00,61.3
RSI_35_65,XRP/USDT,1h,4,8.22,31.85,75.0,1.46,0.00,51.8
MACD_Standard,XRP/USDT,1h,4,21.99,24.53,75.0,1.57,0.00,56.5
Bollinger_Bands,XRP/USDT,1h,3,8.96,inf,100.0,1.12,0.00,54.8
RSI_30_70,ETH/USDT,1h,2,1.24,1.56,50.0,0.09,0.00,18.9
RSI_25_75,ETH/USDT,1h,2,9.82,inf,100.0,1.22,0.00,55.0
RSI_35_65,ETH/USDT,1h,5,4.93,3.49,80.0,0.82,0.00,49.1
MACD_Standard,ETH/USDT,1h,4,16.53,28.34,75.0,1.24,0.00,53.1
Bollinger_Bands,ETH/USDT,1h,4,8.11,inf,100.0,2.46,0.00,61.7
RSI_30_70,BTC/USDT,1h,3,2.59,3.50,66.7,0.32,0.15,42.2
RSI_25_75,BTC/USDT,1h,3,4.56,inf,100.0,0.81,0.00,51.9
RSI_35_65,BTC/USDT,1h,4,-0.37,0.74,50.0,-0.13,0.16,12.0
MACD_Standard,BTC/USDT,1h,7,8.34,7.42,42.9,1.21,0.14,45.6
Bollinger_Bands,BTC/USDT,1h,4,3.36,inf,100.0,1.30,0.00,54.5
RSI_30_70,DETO/USDT,1h,3,2.03,inf,33.3,0.92,0.00,38.4
RSI_25_75,DETO/USDT,1h,3,2.03,inf,33.3,0.92,0.00,38.4
RSI_35_65,DETO/USDT,1h,3,2.03,inf,33.3,0.92,0.00,38.4
MACD_Standard,DETO/USDT,1h,3,1.27,1.49,33.3,0.15,0.18,15.5
Bollinger_Bands,DETO/USDT,1h,4,3.36,5.39,75.0,0.96,0.11,47.8
RSI_30_70,ETH/USDT:USDT-250718-3360-C,1h,5,1.33,1.21,60.0,0.13,0.93,18.2
RSI_25_75,ETH/USDT:USDT-250718-3360-C,1h,2,-1.33,0.43,50.0,-0.26,0.00,11.0
RSI_35_65,ETH/USDT:USDT-250718-3360-C,1h,6,3.65,1.64,66.7,0.38,0.60,27.3
MACD_Standard,ETH/USDT:USDT-250718-3360-C,1h,4,-1.94,0.36,25.0,-0.96,0.31,7.0
Bollinger_Bands,ETH/USDT:USDT-250718-3360-C,1h,3,-12.06,0.00,0.0,-1.05,0.81,1.5
RSI_30_70,ETH/USDT:USDT-250717-3320-C,1h,3,-10.47,0.00,0.0,-1.07,1.37,1.5
RSI_25_75,ETH/USDT:USDT-250717-3320-C,1h,3,-13.25,0.00,0.0,-2.79,1.17,1.5
RSI_35_65,ETH/USDT:USDT-250717-3320-C,1h,4,-1.93,0.72,50.0,-0.15,0.27,12.0
MACD_Standard,ETH/USDT:USDT-250717-3320-C,1h,5,7.36,5.86,80.0,1.21,0.00,51.8
Bollinger_Bands,ETH/USDT:USDT-250717-3320-C,1h,2,-0.08,0.89,50.0,-0.05,0.11,11.0
RSI_30_70,BTC/USDT:USDT-250719-122400-C,1h,2,-12.49,0.00,0.0,-0.68,1.38,1.0
RSI_25_75,BTC/USDT:USDT-250719-122400-C,1h,3,-0.86,0.79,66.7,-0.09,0.60,14.8
RSI_35_65,BTC/USDT:USDT-250719-122400-C,1h,4,-19.34,0.05,25.0,-1.04,2.14,7.0
MACD_Standard,BTC/USDT:USDT-250719-122400-C,1h,3,13.26,inf,100.0,2.10,0.00,61.0
Bollinger_Bands,BTC/USDT:USDT-250719-122400-C,1h,3,-14.00,0.06,33.3,-0.61,2.23,8.2
RSI_30_70,BTC/USDT:USDT-250719-115200-C,1h,3,-18.22,0.00,0.0,-0.63,2.23,1.5
RSI_25_75,BTC/USDT:USDT-250719-115200-C,1h,3,6.96,inf,100.0,1.72,0.00,57.2
RSI_35_65,BTC/USDT:USDT-250719-115200-C,1h,6,0.74,1.09,66.7,0.07,0.79,18.0
MACD_Standard,BTC/USDT:USDT-250719-115200-C,1h,3,18.10,12.52,66.7,1.71,0.23,53.8
Bollinger_Bands,BTC/USDT:USDT-250719-115200-C,1h,3,-13.94,0.00,0.0,-1.10,1.88,1.5
