symbol,type,entry_price,exit_price,entry_time,exit_time,pnl_percent,strategy
BTC/USDT,short,116004.9,115906.8,2025-07-10 23:45:00,2025-07-11 00:00:00,0.08456539335837648,RSI_MACD_VWAP
BTC/USDT,short,116229.9,116499.9,2025-07-11 02:15:00,2025-07-11 02:30:00,-0.2322982296293811,RSI_MACD_VWAP
BTC/USDT,short,116641.8,116497.5,2025-07-11 02:45:00,2025-07-11 03:00:00,0.12371208263247215,RSI_MACD_VWAP
BTC/USDT,short,116485.0,116485.0,2025-07-11 03:15:00,2025-07-11 03:30:00,0.0,RSI_MACD_VWAP
BTC/USDT,short,116873.9,116886.8,2025-07-11 03:45:00,2025-07-11 04:45:00,-0.011037537037789218,RSI_MACD_VWAP
BTC/USDT,short,117205.4,118600.6,2025-07-11 05:00:00,2025-07-11 09:30:00,-1.190388838739522,RSI_MACD_VWAP
ETH/USDT,short,2972.16,2991.82,2025-07-11 03:15:00,2025-07-11 05:00:00,-0.6614717915590114,RSI_MACD_VWAP
BNB/USDT,short,679.84,690.77,2025-07-10 21:30:00,2025-07-11 02:45:00,-1.6077312308778462,RSI_MACD_VWAP
BNB/USDT,short,691.28,691.85,2025-07-11 03:00:00,2025-07-11 03:15:00,-0.08245573429001997,RSI_MACD_VWAP
BNB/USDT,short,691.85,691.85,2025-07-11 03:30:00,2025-07-11 03:45:00,0.0,RSI_MACD_VWAP
BNB/USDT,short,691.85,691.85,2025-07-11 04:00:00,2025-07-11 04:15:00,0.0,RSI_MACD_VWAP
BNB/USDT,short,691.85,691.85,2025-07-11 04:30:00,2025-07-11 04:45:00,0.0,RSI_MACD_VWAP
BNB/USDT,short,691.85,693.02,2025-07-11 05:00:00,2025-07-11 05:15:00,-0.1691118016911121,RSI_MACD_VWAP
BNB/USDT,short,694.01,694.01,2025-07-11 05:30:00,2025-07-11 05:45:00,0.0,RSI_MACD_VWAP
BNB/USDT,short,694.74,694.74,2025-07-11 06:00:00,2025-07-11 06:15:00,0.0,RSI_MACD_VWAP
