Strategy,Timeframe,Total Return (%),Max Drawdown (%),Sharpe Ratio,Win Rate (%),Total Trades,Risk-Adjusted Return
BB_RSI,5m,0.1,0,0,10.0,7,0.01
BB_RSI,15m,-6.23,0,0,20.63,18,-0.62
BB_RSI,30m,-7.41,0,0,0.0,8,-0.74
BB_RSI,1h,-13.33,0,0,17.78,11,-1.33
BB_RSI,4h,-16.53,0,0,0.0,8,-1.65
BB_RSI,1d,-26.99,0,0,16.67,7,-2.7
MACD_Only,5m,1.08,0,0,31.82,66,0.11
MACD_Only,15m,-4.68,0,0,27.27,99,-0.47
MACD_Only,30m,1.42,0,0,49.49,99,0.14
MACD_Only,1h,0.53,0,0,42.42,99,0.05
MACD_Only,4h,22.81,0,0,55.56,99,2.28
MACD_Only,1d,-1.62,0,0,51.6,89,-0.16
Optimized_Crypto_V2,5m,-0.09,0,0,20.37,12,-0.01
Optimized_Crypto_V2,15m,-5.87,0,0,15.56,28,-0.59
Optimized_Crypto_V2,30m,-10.58,0,0,15.71,26,-1.06
Optimized_Crypto_V2,1h,-11.26,0,0,22.02,20,-1.13
Optimized_Crypto_V2,4h,-13.13,0,0,5.56,11,-1.31
Optimized_Crypto_V2,1d,-23.47,0,0,26.25,13,-2.35
RSI_MACD_VWAP,5m,0.42,0,0,50.0,2,0.04
RSI_MACD_VWAP,15m,-3.75,0,0,11.11,15,-0.37
RSI_MACD_VWAP,30m,-7.99,0,0,16.67,10,-0.8
RSI_MACD_VWAP,1h,-1.61,0,0,0.0,1,-0.16
RSI_MACD_VWAP,1d,0.84,0,0,100.0,1,0.08
