symbol,type,entry_price,exit_price,entry_time,exit_time,pnl_percent,strategy
BTC/USDT,long,26637.9,26061.8,2023-08-17,2023-08-18,-2.1627080212779615,BB_RSI
BTC/USDT,long,26091.1,26182.0,2023-08-19,2023-08-20,0.34839466331431584,BB_RSI
BTC/USDT,short,29674.4,29895.9,2023-10-20,2023-10-21,-0.7464346372630954,BB_RSI
BTC/USDT,short,29986.7,33057.5,2023-10-22,2023-10-23,-10.240539972721237,BB_RSI
BTC/USDT,short,33923.8,34490.7,2023-10-24,2023-10-25,-1.6710981670685305,BB_RSI
BTC/USDT,short,37143.3,37851.4,2023-11-11,2023-11-15,-1.906400346765092,BB_RSI
BTC/USDT,short,39954.5,41995.9,2023-12-03,2023-12-04,-5.10931184222053,BB_RSI
BTC/USDT,short,44108.4,43738.6,2023-12-05,2023-12-06,0.8383890596802489,BB_RSI
BTC/USDT,short,47127.8,47757.4,2024-02-09,2024-02-10,-1.3359418432432628,BB_RSI
BTC/USDT,short,48270.6,49912.5,2024-02-11,2024-02-12,-3.4014493294054793,BB_RSI
BTC/USDT,short,51764.0,57040.9,2024-02-14,2024-02-27,-10.194150374777841,BB_RSI
BTC/USDT,short,62427.5,61096.5,2024-02-28,2024-02-29,2.1320732049177047,BB_RSI
BTC/USDT,short,62381.6,68233.9,2024-03-01,2024-03-04,-9.381452223091417,BB_RSI
BTC/USDT,long,60302.5,57013.1,2024-06-24,2024-07-04,-5.454831889225159,BB_RSI
BTC/USDT,long,56652.3,53967.4,2024-07-05,2024-08-05,-4.7392603654220595,BB_RSI
BTC/USDT,short,72728.7,75575.6,2024-10-29,2024-11-06,-3.9144106796904237,BB_RSI
BTC/USDT,short,75844.3,76515.1,2024-11-07,2024-11-08,-0.8844435244309763,BB_RSI
BTC/USDT,short,80343.6,88598.4,2024-11-10,2024-11-11,-10.27437157408927,BB_RSI
BTC/USDT,short,87861.5,90406.9,2024-11-12,2024-11-13,-2.8970595767201726,BB_RSI
BTC/USDT,short,106140.5,88800.0,2024-12-17,2025-02-25,16.337307625270277,BB_RSI
BTC/USDT,long,84286.0,84803.5,2025-02-26,2025-02-27,0.6139809695560353,BB_RSI
BTC/USDT,long,84387.9,103167.6,2025-02-28,2025-05-08,22.25401982985714,BB_RSI
