symbol,strategy,timeframe,total_trades,win_rate,total_return,avg_return
BTC/USDT,BB_RSI,30m,19,36.84210526315789,0.9460264486320165,0.04979086571747455
ETH/USDT,BB_RSI,30m,21,38.095238095238095,-4.665478926126758,-0.22216566314889322
BNB/USDT,BB_RSI,30m,22,22.727272727272727,1.8432248297954517,0.08378294680888417
XRP/USDT,BB_RSI,30m,18,16.666666666666664,-5.9876469425801035,-0.3326470523655613
ADA/USDT,BB_RSI,30m,18,27.77777777777778,-9.108012431841402,-0.5060006906578557
DOGE/USDT,BB_RSI,30m,16,37.5,-0.4975589012847822,-0.031097431330299075
SOL/USDT,BB_RSI,30m,17,23.52941176470588,-2.7934394149428443,-0.16431996558487316
DOT/USDT,BB_RSI,30m,22,9.090909090909092,-13.657125106282908,-0.6207784139219504
AVAX/USDT,BB_RSI,30m,21,19.047619047619047,-7.381238066266382,-0.3514875269650659
SHIB/USDT,BB_RSI,30m,29,24.137931034482758,5.148714741883828,0.1775418876511665
