symbol,strategy,timeframe,total_trades,win_rate,total_return,avg_return
BTC/USDT,BB_RSI,4h,18,33.33333333333333,18.976375031545437,1.0542430573080799
ETH/USDT,BB_RSI,4h,22,50.0,50.1730109349014,2.2805914061318817
BNB/USDT,BB_RSI,4h,8,25.0,3.6471737003871185,0.4558967125483897
XRP/USDT,BB_RSI,4h,17,47.05882352941176,50.59645068633121,2.9762618050783067
ADA/USDT,BB_RSI,4h,14,28.57142857142857,23.83944425673077,1.7028174469093407
DOGE/USDT,BB_RSI,4h,21,23.809523809523807,-12.186668358293895,-0.5803175408711377
SOL/USDT,BB_RSI,4h,14,21.428571428571427,27.10007882217678,1.93571991586977
DOT/USDT,BB_RSI,4h,17,23.52941176470588,7.226895665075398,0.42511150971031725
AVAX/USDT,BB_RSI,4h,18,38.88888888888889,66.22667510807734,3.67925972822652
SHIB/USDT,BB_RSI,4h,17,23.52941176470588,21.63304814167276,1.2725322436278095
