symbol,type,entry_price,exit_price,entry_time,exit_time,pnl_percent,strategy
BTC/USDT,long,26061.8,26091.1,2023-08-18,2023-08-19,0.11242508192066271,Optimized_Crypto_V2
BTC/USDT,long,26182.0,26128.6,2023-08-20,2023-08-21,-0.20395691696585994,Optimized_Crypto_V2
BTC/USDT,long,26049.7,29674.4,2023-08-22,2023-10-20,13.91455563787683,Optimized_Crypto_V2
BTC/USDT,short,29895.9,29986.7,2023-10-21,2023-10-22,-0.303720577069094,Optimized_Crypto_V2
BTC/USDT,short,33923.8,34490.7,2023-10-24,2023-10-25,-1.6710981670685305,Optimized_Crypto_V2
BTC/USDT,short,34154.7,33898.5,2023-10-26,2023-10-27,0.7501163822255711,Optimized_Crypto_V2
BTC/USDT,short,34082.0,34526.4,2023-10-28,2023-10-29,-1.3039140895487398,Optimized_Crypto_V2
BTC/USDT,short,37300.2,37143.3,2023-11-10,2023-11-11,0.4206411761867073,Optimized_Crypto_V2
BTC/USDT,short,37064.1,37851.4,2023-11-12,2023-11-15,-2.1241578778386714,Optimized_Crypto_V2
BTC/USDT,short,39954.5,41995.9,2023-12-03,2023-12-04,-5.10931184222053,Optimized_Crypto_V2
BTC/USDT,short,44108.4,43738.6,2023-12-05,2023-12-06,0.8383890596802489,Optimized_Crypto_V2
BTC/USDT,short,43257.9,44152.7,2023-12-07,2023-12-08,-2.068523899680742,Optimized_Crypto_V2
BTC/USDT,short,43713.9,43752.7,2023-12-09,2023-12-10,-0.08875895310186378,Optimized_Crypto_V2
BTC/USDT,short,47127.8,47757.4,2024-02-09,2024-02-10,-1.3359418432432628,Optimized_Crypto_V2
BTC/USDT,short,48270.6,49912.5,2024-02-11,2024-02-12,-3.4014493294054793,Optimized_Crypto_V2
BTC/USDT,short,49707.5,51764.0,2024-02-13,2024-02-14,-4.13720263541719,Optimized_Crypto_V2
BTC/USDT,short,51891.9,52137.6,2024-02-15,2024-02-16,-0.4734843010180723,Optimized_Crypto_V2
BTC/USDT,short,51662.5,52122.0,2024-02-17,2024-02-18,-0.8894265666586015,Optimized_Crypto_V2
BTC/USDT,short,54483.2,57040.9,2024-02-26,2024-02-27,-4.6944746270410045,Optimized_Crypto_V2
