symbol,type,entry_price,exit_price,entry_time,exit_time,pnl_percent,strategy
BTC/USDT,short,107089.0,107155.1,2025-06-25 10:00:00,2025-06-25 11:00:00,-0.06172436011168825,RSI_MACD_VWAP
BTC/USDT,short,117853.8,117853.9,2025-07-11 12:00:00,2025-07-11 13:00:00,-8.485089152090883e-05,RSI_MACD_VWAP
ETH/USDT,long,2178.34,2598.62,2025-06-22 21:00:00,2025-07-03 06:00:00,19.29359053224013,RSI_MACD_VWAP
ETH/USDT,short,2599.95,2624.88,2025-07-03 07:00:00,2025-07-03 13:00:00,-0.9588645935498873,RSI_MACD_VWAP
ETH/USDT,short,2788.08,2833.1,2025-07-10 08:00:00,2025-07-10 17:00:00,-1.6147312846116317,RSI_MACD_VWAP
BNB/USDT,short,645.32,646.08,2025-06-25 01:00:00,2025-06-25 02:00:00,-0.11777102832703013,RSI_MACD_VWAP
ADA/USDT,short,0.602186,0.639417,2025-07-03 05:00:00,2025-07-10 16:00:00,-6.182641243735327,RSI_MACD_VWAP
DOGE/USDT,short,0.19905,0.2005,2025-07-11 11:00:00,2025-07-11 12:00:00,-0.7284601858829474,RSI_MACD_VWAP
SOL/USDT,long,144.98,145.09,2025-06-13 10:00:00,2025-06-13 12:00:00,0.07587253414264977,RSI_MACD_VWAP
AVAX/USDT,short,19.58,19.54,2025-07-10 08:00:00,2025-07-10 09:00:00,0.20429009193053704,RSI_MACD_VWAP
AVAX/USDT,short,19.66,19.9,2025-07-10 12:00:00,2025-07-10 17:00:00,-1.2207527975584864,RSI_MACD_VWAP
