symbol,type,entry_price,exit_price,entry_time,exit_time,pnl_percent,strategy
BTC/USDT,short,96818.8,97025.8,2025-05-06,2025-05-07,-0.21380145178415763,MACD_Only
BTC/USDT,long,103167.6,102975.3,2025-05-08,2025-05-09,-0.18639572889163158,MACD_Only
BTC/USDT,long,104743.5,104045.0,2025-05-10,2025-05-11,-0.6668671564345282,MACD_Only
BTC/USDT,long,102805.1,104119.3,2025-05-12,2025-05-13,1.2783412496072637,MACD_Only
BTC/USDT,long,103487.0,103756.0,2025-05-14,2025-05-15,0.25993603061254067,MACD_Only
BTC/USDT,long,103473.0,103146.0,2025-05-16,2025-05-17,-0.31602447015163376,MACD_Only
BTC/USDT,short,106461.7,105568.2,2025-05-18,2025-05-19,0.8392689577566392,MACD_Only
BTC/USDT,short,106753.2,109625.4,2025-05-20,2025-05-21,-2.6905048279583164,MACD_Only
BTC/USDT,long,111669.9,107246.9,2025-05-22,2025-05-23,-3.96078083709218,MACD_Only
BTC/USDT,short,107795.5,108995.9,2025-05-24,2025-05-25,-1.1135900849293283,MACD_Only
BTC/USDT,short,109411.9,108984.7,2025-05-26,2025-05-27,0.39045113008730964,MACD_Only
BTC/USDT,short,107757.4,105597.7,2025-05-28,2025-05-29,2.0042243038529115,MACD_Only
BTC/USDT,short,103957.4,104606.5,2025-05-30,2025-05-31,-0.6243903752883448,MACD_Only
BTC/USDT,short,105651.0,105843.3,2025-06-01,2025-06-02,-0.18201436806088245,MACD_Only
BTC/USDT,short,105385.0,104704.9,2025-06-03,2025-06-04,0.6453480096788023,MACD_Only
BTC/USDT,short,101521.7,104317.9,2025-06-05,2025-06-06,-2.7542879995114316,MACD_Only
BTC/USDT,short,105582.9,105743.7,2025-06-07,2025-06-08,-0.1522973890658458,MACD_Only
BTC/USDT,short,110236.2,110237.7,2025-06-09,2025-06-10,-0.0013607145384184143,MACD_Only
BTC/USDT,long,108656.8,105762.1,2025-06-11,2025-06-12,-2.664076247413873,MACD_Only
