symbol,type,entry_price,exit_price,entry_time,exit_time,pnl_percent,strategy
BTC/USDT,short,93416.0,93636.7,2025-04-22,2025-04-23,-0.2362550312580255,Optimized_Crypto_V2
BTC/USDT,short,93949.2,94662.7,2025-04-24,2025-04-25,-0.7594529809726959,Optimized_Crypto_V2
BTC/USDT,short,94607.9,93748.3,2025-04-26,2025-04-27,0.908592200017114,Optimized_Crypto_V2
BTC/USDT,short,94954.0,103167.6,2025-04-28,2025-05-08,-8.650083198180178,Optimized_Crypto_V2
BTC/USDT,short,102975.3,104743.5,2025-05-09,2025-05-10,-1.7171108022991894,Optimized_Crypto_V2
BTC/USDT,short,104045.0,104119.3,2025-05-11,2025-05-13,-0.07141140852516019,Optimized_Crypto_V2
BTC/USDT,short,109625.4,111669.9,2025-05-21,2025-05-22,-1.864987493774253,Optimized_Crypto_V2
BTC/USDT,short,116004.9,117997.6,2025-07-10,2025-07-11,-1.7177722665163382,Optimized_Crypto_V2
ETH/USDT,short,2207.75,2345.19,2025-05-08,2025-05-09,-6.225342543313331,Optimized_Crypto_V2
ETH/USDT,short,2580.59,2510.24,2025-05-10,2025-05-11,2.7261207708314905,Optimized_Crypto_V2
ETH/USDT,short,2493.75,2678.92,2025-05-12,2025-05-13,-7.425363408521306,Optimized_Crypto_V2
ETH/USDT,short,2606.3,2548.1,2025-05-14,2025-05-15,2.2330506848789575,Optimized_Crypto_V2
ETH/USDT,short,2951.64,2982.37,2025-07-10,2025-07-11,-1.0411161252727306,Optimized_Crypto_V2
