symbol,entry_time,exit_time,side,entry_price,exit_price,position_size,pnl_abs,pnl_pct,duration_hours,duration_days,trade_type,cumulative_pnl,portfolio_value
TCS,2025-02-12 09:15:00,2025-02-19 09:15:00,BUY_SL,3996.65,3825.85,10000,-427.3579122515111,-4.273579122515111,168.0,7.0,Stop Loss,-427.3579122515111,99572.64208774849
HDFCBANK,2025-02-27 09:15:00,2025-03-25 09:15:00,BUY_TP,1700.45,1831.9,10000,773.0306683524952,7.730306683524951,624.0,26.0,Take Profit,345.67275610098415,100345.67275610099
INFY,2025-05-12 09:15:00,2025-07-08 15:15:00,BUY_EOD,1567.6,1638.7,10000,453.5595815259004,4.535595815259003,1374.0,57.25,End of Data,799.2323376268846,100799.23233762689
HINDUNILVR,2025-02-17 14:15:00,2025-02-19 12:15:00,BUY_SL,2329.2,2250.7,10000,-337.0255881847845,-3.370255881847845,46.0,1.9166666666666667,Stop Loss,462.2067494421001,100462.2067494421
HINDUNILVR,2025-04-07 11:15:00,2025-04-17 11:15:00,BUY_TP,2229.6,2372.1,10000,639.1280947255113,6.3912809472551135,240.0,10.0,Take Profit,1101.3348441676114,101101.3348441676
ICICIBANK,2025-03-11 09:15:00,2025-03-19 11:15:00,BUY_TP,1234.4,1312.55,10000,633.1011017498367,6.331011017498368,194.0,8.083333333333334,Take Profit,1734.4359459174482,101734.43594591744
KOTAKBANK,2025-06-06 10:15:00,2025-06-24 10:15:00,BUY_TP,2079.0,2211.5,10000,637.3256373256373,6.373256373256374,432.0,18.0,Take Profit,2371.7615832430856,102371.76158324309
BHARTIARTL,2025-03-11 09:15:00,2025-03-26 10:15:00,BUY_TP,1643.2,1747.5,10000,634.737098344693,6.34737098344693,361.0,15.041666666666666,Take Profit,3006.4986815877787,103006.49868158778
ITC,2025-03-12 11:15:00,2025-05-05 10:15:00,BUY_TP,409.25,436.65,10000,669.517409896151,6.695174098961509,1295.0,53.958333333333336,Take Profit,3676.01609148393,103676.01609148394
SBIN,2025-03-04 09:15:00,2025-03-24 09:15:00,BUY_TP,714.0,766.25,10000,731.7927170868347,7.317927170868348,480.0,20.0,Take Profit,4407.808808570764,104407.80880857076
